Symbol	Description
ANTI.P	Antera Ventures I Corp
ANTL	Antler Gold Inc
ANTV.P	Antalis Ventures Corp
ANZ	Alianza Minerals Ltd
AORO	Aloro Mining Corp
APC	Advanced Proteome Therapeutics Corp
APL	Appulse Corp
APLI	Appili Therapeutics Inc
APN	Altiplano Minerals Ltd
APX	Apex Resources Inc
AQS	Aequus Pharmaceuticals Inc
AQS.DB	Aequus Pharmaceuticals Inc 9.5 Pct Debs
AQS.WT	Aequus Pharmaceuticals Inc WT
AQUA	Aquarius Ai Inc.
ARCH	Arch Biopartners Inc
ARD	Armada Data Corp
ARH	Altima Resources Ltd
ARIC	Awale Resources Ltd
ARS	Ares Strategic Mining Inc
ART	Arht Media Inc
ARTG	Artemis Gold Inc
ARU	Aurania Resources Ltd
ASG	Aurora Spine Corp
ASI	Ashanti Sankofa Inc
ASL	Argentum Silver Corp
ASN	Asian Mineral Res Ltd
ASQ	Astorius Resources Ltd
ATC	Atac Resources Ltd
ATE	Antibe Therapeutics Inc
ATI	Altai Resources Inc
ATU	Altura Energy Inc
ATV	Alto Ventures Ltd
ATW	Atw Tech Inc
ATX	Atex Resources Inc
ATY	Atico Mining Corp
AU	Aurion Resources Ltd
AUAU	Allegiant Gold Ltd
AUEN	Golden Sky Minerals Corp.
AUL	Aurelius Minerals Inc
AUM.H	American Uranium Mining Corporation
AUMB	1911 Gold Corp
AUN	Aurcana Corporation
AUOC.P	Aumento Capital Vii Corporation
AUR.H	Aurora Royalties Inc
AURX	Aurex Energy Corp
AUU	Aura Resources Inc
AUX	Auramex Resource Corp
AVCR	Avricore Health Inc
AVG	Avidian Gold Corp
AVN	Avanti Energy Inc
AVU	Avrupa Minerals Ltd
AVX	Altair Resources Inc
AWE	Thunderstruck Resources Ltd
AWI	Advent Awi Holdings Inc
AWX	Arcwest Exploration Inc
AXE	Acceleware Ltd
AXIS	Axis Auto Finance Inc
AXL	Arrow Exploration Corp
AXM	Axmin Inc
AXV	Axion Ventures Inc
AZ	A2Z Technologies Canada Corp
AZM	Azimut Exploration Inc
AZR	Azarga Metals Corp
AZS	Arizona Silver Exploration Inc
AZT	Aztec Minerals Corp
B	Bcm Resources Corp
BABY	Else Nutrition Holdings Inc
BAL.H	Balto Resources Ltd
BANC	Bankers Cobalt Corp
BAT	Batero Gold Corp
BATT	Bluebird Battery Metals Inc
BAU	Blue Star Gold Corp
BAV.H	Bravern Ventures Ltd
BAY	Aston Bay Holdings Ltd
BBA.P	Bb1 Acquisition Corp
BBB	Brixton Metals Corp
BCF	Builders Capital Mortgage Corp
BCK	Blind Creek Resources Ltd
BCM	Bear Creek Mining Corp
BCR.H	Bluerock Ventures Corp
BCT	Briacell Therapeutics Corp
